year,n_nodes,n_trials,coverage_mean,coverage_std,n_isolated_mean,n_isolated_std,avg_degree_mean,avg_degree_std,gcc_ratio_mean,gcc_ratio_std,fuel_type
2011,3,50,0.2933333333333333,0.35405010086554484,2.12,1.0621503025966346,2.0,0.0,1.0,0.0,EV
2012,11,50,0.20181818181818179,0.15288312570881352,8.78,1.6817143827969487,3.523636363636364,0.22610833447086084,0.9599999999999999,0.12205028700748811,EV
2013,14,50,0.3271428571428572,0.14219233063751463,9.42,1.9906926289252047,3.4971428571428573,0.1506338129571098,0.9485714285714286,0.13307624805633556,EV
2014,41,50,0.5004878048780488,0.10525186024326495,20.48,4.315326269973863,3.51219512195122,0.10146494619206305,0.8873170731707317,0.15026190476078258,EV
2015,95,50,0.8113684210526317,0.04155603115648933,17.92,3.947822959866486,3.5705263157894738,0.1062467472640944,0.9406315789473685,0.09883166212852253,EV
2016,252,50,0.9704761904761904,0.010967886190418613,7.44,2.7639073199854924,4.42015873015873,0.1754141574809805,0.9545238095238097,0.09783210793739007,EV
2017,1778,50,1.0,0.0,0.0,0.0,19.347896512935883,0.19980035084690007,1.0,0.0,EV
2018,4115,50,1.0,0.0,0.0,0.0,43.60589064398541,0.21737190407916165,1.0,0.0,EV
2019,6482,50,1.0,0.0,0.0,0.0,66.70491823511263,0.20164298330239452,1.0,0.0,EV
2020,9588,50,1.0,0.0,0.0,0.0,97.32202336253651,0.31576501726078354,1.0,0.0,EV
2021,12109,50,1.0,0.0,0.0,0.0,92.82019324469402,0.2519054307040851,1.0,0.0,EV
2022,16850,50,1.0,0.0,0.0,0.0,129.0513471810089,0.2304926197168025,1.0,0.0,EV
2023,25614,50,1.0,0.0,0.0,0.0,196.32114468649957,0.32763007666877286,1.0,0.0,EV
2024,28708,50,1.0,0.0,0.0,0.0,220.06190190887554,0.32133484414428065,1.0,0.0,EV
