step,removed_original_index,n_nodes_before,n_nodes_after,coverage_before,coverage_after,delta_coverage,isolated_before,isolated_after,delta_isolated,gcc_before,gcc_after,delta_gcc,removed_lat,removed_lon
0,-1,252,252,0.8492063492063492,0.8492063492063492,0.0,38,38,0,0.7896825396825397,0.7896825396825397,0.0,,
1,0,252,251,0.8492063492063492,0.848605577689243,-0.0006007715171061356,38,38,0,0.7896825396825397,0.7888446215139442,-0.000837918168595464,37.2651360865,127.4032249481
2,1,251,250,0.848605577689243,0.848,-0.0006055776892430753,38,38,0,0.7888446215139442,0.788,-0.0008446215139441549,37.2941640582,127.3780268715
3,2,250,249,0.848,0.8514056224899599,0.003405622489959903,38,37,-1,0.788,0.7871485943775101,-0.0008514056224899758,34.5722,126.60902
4,3,249,248,0.8514056224899599,0.8508064516129032,-0.0005991708770566317,37,37,0,0.7871485943775101,0.7862903225806451,-0.0008582717968649289,37.48560466,127.028077
5,4,248,247,0.8508064516129032,0.8502024291497976,-0.0006040224631056468,37,37,0,0.7862903225806451,0.7854251012145749,-0.0008652213660702568,37.64138324,126.7877961
6,5,247,246,0.8502024291497976,0.8495934959349594,-0.0006089332148382365,37,37,0,0.7854251012145749,0.7845528455284553,-0.000872255686119594,37.75720525,126.7799306
7,6,246,245,0.8495934959349594,0.8489795918367347,-0.0006139040982247046,37,37,0,0.7845528455284553,0.7836734693877551,-0.0008793761407002165,37.653663,127.0555778
8,7,245,244,0.8489795918367347,0.8483606557377049,-0.0006189360990297432,37,37,0,0.7836734693877551,0.7827868852459017,-0.000886584141853386,35.18514794,126.9067303
9,8,244,243,0.8483606557377049,0.8477366255144033,-0.0006240302233015971,37,37,0,0.7827868852459017,0.7818930041152263,-0.0008938811306753447,37.6721145179,126.7395484312
10,9,243,242,0.8477366255144033,0.8471074380165289,-0.0006291874978744394,37,37,0,0.7818930041152263,0.78099173553719,-0.0009012685780362961,37.60746854,127.0792448
11,10,242,241,0.8471074380165289,0.8423236514522822,-0.004783786564246717,37,38,1,0.78099173553719,0.7800829875518672,-0.0009087479853228109,35.557678,129.359626
12,11,241,240,0.8423236514522822,0.8416666666666667,-0.0006569847856154887,38,38,0,0.7800829875518672,0.7791666666666667,-0.00091632088520055,37.50914,127.119371
13,12,240,239,0.8416666666666667,0.8410041841004184,-0.0006624825662482348,38,38,0,0.7791666666666667,0.7782426778242678,-0.0009239888423988596,37.50705693,126.7863311
14,13,239,238,0.8410041841004184,0.8403361344537815,-0.0006680496466369146,38,38,0,0.7782426778242678,0.7773109243697479,-0.0009317534545199013,35.018278,126.713128
15,14,238,237,0.8403361344537815,0.8396624472573839,-0.0006736871963975988,38,38,0,0.7773109243697479,0.7805907172995781,0.003279792929830161,33.4453473,126.6653855
16,15,237,236,0.8396624472573839,0.8389830508474576,-0.0006793964099263139,38,38,0,0.7805907172995781,0.7796610169491526,-0.0009297003504254997,35.23195,128.688872
17,16,236,235,0.8389830508474576,0.8382978723404255,-0.0006851785070320915,38,38,0,0.7796610169491526,0.7787234042553192,-0.0009376126938334117,35.68699818,127.9237174
18,17,235,234,0.8382978723404255,0.8376068376068376,-0.0006910347335878919,38,38,0,0.7787234042553192,0.7777777777777778,-0.0009456264775413725,37.42504513,126.6683187
19,18,234,233,0.8376068376068376,0.8369098712446352,-0.0006969663622024003,38,38,0,0.7777777777777778,0.776824034334764,-0.0009537434430137992,35.15349,129.060872
20,19,233,232,0.8369098712446352,0.8362068965517242,-0.0007029746929110292,38,38,0,0.776824034334764,0.7758620689655172,-0.0009619653692467534,34.93150952,128.0813163
21,20,232,231,0.8362068965517242,0.8311688311688312,-0.0050380653828929756,38,39,1,0.7758620689655172,0.7748917748917749,-0.0009702940737423837,36.32819565213,127.3733761419
22,21,231,230,0.8311688311688312,0.8304347826086956,-0.0007340485601355917,39,39,0,0.7748917748917749,0.7782608695652173,0.0033690946734424854,33.3782702,126.2396908
23,22,230,229,0.8304347826086956,0.8296943231441047,-0.0007404594645908924,39,39,0,0.7782608695652173,0.7816593886462883,0.0033985190810709165,33.32487324,126.84288084
24,23,229,228,0.8296943231441047,0.8289473684210527,-0.0007469547230520845,39,39,0,0.7816593886462883,0.7850877192982456,0.0034283306519573564,33.4749922,126.35582591
25,24,228,227,0.8289473684210527,0.8281938325991189,-0.0007535358219337152,39,39,0,0.7850877192982456,0.7841409691629956,-0.0009467501352500296,35.875016,128.640816
26,25,227,226,0.8281938325991189,0.8141592920353982,-0.014034540563720777,39,42,3,0.7841409691629956,0.7831858407079646,-0.0009551284550309846,36.01062469382,129.3472416122
27,26,226,225,0.8141592920353982,0.8177777777777777,0.0036184857423795513,42,41,-1,0.7831858407079646,0.7822222222222223,-0.0009636184857423347,37.88351555,127.750081
28,27,225,224,0.8177777777777777,0.8169642857142857,-0.0008134920634920162,41,41,0,0.7822222222222223,0.78125,-0.0009722222222222632,36.126868,128.11948
29,28,224,223,0.8169642857142857,0.8161434977578476,-0.0008207879564381404,41,41,0,0.78125,0.7847533632286996,0.0035033632286995964,33.54006825,126.67194575
30,29,223,222,0.8161434977578476,0.8153153153153153,-0.0008281824425322437,41,41,0,0.7847533632286996,0.7882882882882883,0.003534925059588745,33.2394722,126.42915419
31,30,222,221,0.8153153153153153,0.8144796380090498,-0.0008356773062655476,41,41,0,0.7882882882882883,0.7918552036199095,0.0035669153316211233,33.25755342,126.40795975
32,31,221,220,0.8144796380090498,0.8136363636363636,-0.0008432743726861647,41,41,0,0.7918552036199095,0.7954545454545454,0.0035993418346359496,33.2486939,126.4072788
33,32,220,219,0.8136363636363636,0.812785388127854,-0.0008509755085096549,41,41,0,0.7954545454545454,0.7945205479452054,-0.0009339975093399788,35.056138,126.979012
34,33,219,218,0.812785388127854,0.8119266055045872,-0.0008587826232667739,41,41,0,0.7945205479452054,0.7981651376146789,0.0036445896694734525,33.2550158,126.409676
35,34,218,217,0.8119266055045872,0.8110599078341014,-0.0008666976704857499,41,41,0,0.7981651376146789,0.7972350230414746,-0.0009301145732042437,37.2579075965,126.9692391402
36,35,217,216,0.8110599078341014,0.8101851851851851,-0.000874722648916304,41,41,0,0.7972350230414746,0.7962962962962963,-0.0009387267451783643,36.6480797,127.4867786
