step,removed_original_index,n_nodes_before,n_nodes_after,coverage_before,coverage_after,delta_coverage,isolated_before,isolated_after,delta_isolated,gcc_before,gcc_after,delta_gcc,removed_lat,removed_lon
0,-1,241,241,0.8713692946058091,0.8713692946058091,0.0,31,31,0,0.941908713692946,0.941908713692946,0.0,,
1,0,241,240,0.8713692946058091,0.8708333333333333,-0.0005359612724757934,31,31,0,0.941908713692946,0.9416666666666667,-0.00024204702627939056,37.4686136,127.0341042
2,1,240,239,0.8708333333333333,0.8702928870292888,-0.000540446304044595,31,31,0,0.9416666666666667,0.9414225941422594,-0.00024407252440727945,37.56863,126.8783
3,2,239,238,0.8702928870292888,0.8697478991596639,-0.0005449878696248689,31,31,0,0.9414225941422594,0.9411764705882353,-0.00024612355402409136,35.1946958,126.7890349
4,3,238,237,0.8697478991596639,0.869198312236287,-0.0005495869233769213,31,31,0,0.9411764705882353,0.9409282700421941,-0.00024820054604113295,36.6352678,126.6836321
5,4,237,236,0.869198312236287,0.8686440677966102,-0.0005542444396767765,31,31,0,0.9409282700421941,0.940677966101695,-0.0002503039404991858,35.252219,128.6035624
6,5,236,235,0.8686440677966102,0.8680851063829788,-0.0005589614136314314,31,31,0,0.940677966101695,0.9404255319148936,-0.00025243418680132024,35.5222899,129.2915261
7,6,235,234,0.8680851063829788,0.8717948717948718,0.003709765411893051,31,30,-1,0.9404255319148936,0.7051282051282052,-0.23529732678668847,35.6481281,128.3985328
8,7,234,233,0.8717948717948718,0.8712446351931331,-0.0005502366017386962,30,30,0,0.7051282051282052,0.7081545064377682,0.003026301309563051,35.1910129,128.7224132
9,8,233,232,0.8712446351931331,0.8706896551724138,-0.0005549800207192979,30,30,0,0.7081545064377682,0.7112068965517241,0.0030523901139558607,35.4715924,129.2183474
10,9,232,231,0.8706896551724138,0.8701298701298701,-0.0005597850425437256,30,30,0,0.7112068965517241,0.9393939393939394,0.22818704284221536,35.5810598,129.3575334
11,10,231,230,0.8701298701298701,0.8695652173913043,-0.0005646527385657629,30,30,0,0.9393939393939394,0.9391304347826087,-0.0002635046113307338,35.1116277,126.7814513
12,11,230,229,0.8695652173913043,0.8602620087336245,-0.009303208657679862,30,32,2,0.9391304347826087,0.9388646288209607,-0.0002658059616480468,35.1345333,128.5646385
13,12,229,228,0.8602620087336245,0.8596491228070176,-0.0006128859266069098,32,32,0,0.9388646288209607,0.9385964912280702,-0.0002681375928904606,37.3985573,126.7116293
14,13,228,227,0.8596491228070176,0.8590308370044053,-0.0006182858026122506,32,32,0,0.9385964912280702,0.9383259911894273,-0.00027050003864292904,36.9767432,126.7060832
15,14,227,226,0.8590308370044053,0.8584070796460177,-0.0006237573583875999,32,32,0,0.9383259911894273,0.9380530973451328,-0.00027289384429451946,37.5308953,127.2070791
16,15,226,225,0.8584070796460177,0.8577777777777778,-0.0006293018682399509,32,32,0,0.9380530973451328,0.9377777777777778,-0.0002753195673549369,37.52834,126.9153
17,16,225,224,0.8577777777777778,0.8571428571428572,-0.0006349206349205438,32,32,0,0.9377777777777778,0.9375,-0.0002777777777778212,35.1459087,128.9877688
18,17,224,223,0.8571428571428572,0.8565022421524664,-0.0006406149903908087,32,32,0,0.9375,0.9372197309417041,-0.0002802690582959233,35.2937322,128.3467079
19,18,223,222,0.8565022421524664,0.8558558558558559,-0.0006463862966105127,32,32,0,0.9372197309417041,0.9369369369369369,-0.00028279400476716177,36.0084201,128.2612201
20,19,222,221,0.8558558558558559,0.8552036199095022,-0.0006522359463536631,32,32,0,0.9369369369369369,0.9366515837104072,-0.0002853532265296721,35.3941248,126.8072014
21,20,221,220,0.8552036199095022,0.8545454545454545,-0.0006581653640477247,32,32,0,0.9366515837104072,0.9363636363636364,-0.0002879473467708449,36.3353824,127.315963
22,21,220,219,0.8545454545454545,0.8538812785388128,-0.0006641760066417035,32,32,0,0.9363636363636364,0.9360730593607306,-0.0002905770029058008,37.2344843,127.583679
23,22,219,218,0.8538812785388128,0.8532110091743119,-0.000670269364500875,32,32,0,0.9360730593607306,0.9357798165137615,-0.0002932428469690773,35.4636548,129.3341924
24,23,218,217,0.8532110091743119,0.8525345622119815,-0.0006764469623303793,32,32,0,0.9357798165137615,0.9354838709677419,-0.00029594554601963807,37.078393,127.1294332
