step,removed_original_index,n_nodes_before,n_nodes_after,coverage_before,coverage_after,delta_coverage,isolated_before,isolated_after,delta_isolated,gcc_before,gcc_after,delta_gcc,removed_lat,removed_lon
0,-1,252,252,0.9642857142857143,0.9642857142857143,0.0,9,9,0,0.7896825396825397,0.7896825396825397,0.0,,
1,0,252,251,0.9642857142857143,0.9641434262948207,-0.0001422879908935526,9,9,0,0.7896825396825397,0.7888446215139442,-0.000837918168595464,37.2651360865,127.4032249481
2,1,251,250,0.9641434262948207,0.964,-0.00014342629482078095,9,9,0,0.7888446215139442,0.788,-0.0008446215139441549,37.2941640582,127.3780268715
3,2,250,249,0.964,0.963855421686747,-0.00014457831325298542,9,9,0,0.788,0.7871485943775101,-0.0008514056224899758,34.5722,126.60902
4,3,249,248,0.963855421686747,0.9637096774193549,-0.00014574426739211166,9,9,0,0.7871485943775101,0.7862903225806451,-0.0008582717968649289,37.48560466,127.028077
5,4,248,247,0.9637096774193549,0.9635627530364372,-0.00014692438291763477,9,9,0,0.7862903225806451,0.7854251012145749,-0.0008652213660702568,37.64138324,126.7877961
6,5,247,246,0.9635627530364372,0.9634146341463414,-0.00014811889009580526,9,9,0,0.7854251012145749,0.7845528455284553,-0.000872255686119594,37.75720525,126.7799306
7,6,246,245,0.9634146341463414,0.963265306122449,-0.0001493280238924477,9,9,0,0.7845528455284553,0.7836734693877551,-0.0008793761407002165,37.653663,127.0555778
8,7,245,244,0.963265306122449,0.9631147540983607,-0.00015055202408831292,9,9,0,0.7836734693877551,0.7827868852459017,-0.000886584141853386,35.18514794,126.9067303
9,8,244,243,0.9631147540983607,0.962962962962963,-0.00015179113539764977,9,9,0,0.7827868852459017,0.7818930041152263,-0.0008938811306753447,37.6721145179,126.7395484312
10,9,243,242,0.962962962962963,0.9628099173553719,-0.00015304560759110686,9,9,0,0.7818930041152263,0.78099173553719,-0.0009012685780362961,37.60746854,127.0792448
11,10,242,241,0.9628099173553719,0.9626556016597511,-0.00015431569562085468,9,9,0,0.78099173553719,0.7800829875518672,-0.0009087479853228109,35.557678,129.359626
12,11,241,240,0.9626556016597511,0.9625,-0.0001556016597510368,9,9,0,0.7800829875518672,0.7791666666666667,-0.00091632088520055,37.50914,127.119371
13,12,240,239,0.9625,0.9623430962343096,-0.0001569037656904415,9,9,0,0.7791666666666667,0.7782426778242678,-0.0009239888423988596,37.50705693,126.7863311
14,13,239,238,0.9623430962343096,0.9621848739495799,-0.00015822228472972544,9,9,0,0.7782426778242678,0.7773109243697479,-0.0009317534545199013,35.018278,126.713128
15,14,238,237,0.9621848739495799,0.9620253164556962,-0.00015955749388363305,9,9,0,0.7773109243697479,0.7805907172995781,0.003279792929830161,33.4453473,126.6653855
16,15,237,236,0.9620253164556962,0.961864406779661,-0.00016090967603521467,9,9,0,0.7805907172995781,0.7796610169491526,-0.0009297003504254997,35.23195,128.688872
17,16,236,235,0.961864406779661,0.9617021276595745,-0.0001622791200864837,9,9,0,0.7796610169491526,0.7787234042553192,-0.0009376126938334117,35.68699818,127.9237174
18,17,235,234,0.9617021276595745,0.9615384615384616,-0.00016366612111295975,9,9,0,0.7787234042553192,0.7777777777777778,-0.0009456264775413725,37.42504513,126.6683187
19,18,234,233,0.9615384615384616,0.9613733905579399,-0.00016507098052165325,9,9,0,0.7777777777777778,0.776824034334764,-0.0009537434430137992,35.15349,129.060872
20,19,233,232,0.9613733905579399,0.9612068965517241,-0.00016649400621582267,9,9,0,0.776824034334764,0.7758620689655172,-0.0009619653692467534,34.93150952,128.0813163
21,20,232,231,0.9612068965517241,0.961038961038961,-0.00016793551276306218,9,9,0,0.7758620689655172,0.7748917748917749,-0.0009702940737423837,36.32819565213,127.3733761419
22,21,231,230,0.961038961038961,0.9608695652173913,-0.00016939582156971777,9,9,0,0.7748917748917749,0.7782608695652173,0.0033690946734424854,33.3782702,126.2396908
23,22,230,229,0.9608695652173913,0.9606986899563319,-0.0001708752610594111,9,9,0,0.7782608695652173,0.7816593886462883,0.0033985190810709165,33.32487324,126.84288084
24,23,229,228,0.9606986899563319,0.9605263157894737,-0.0001723741668582246,9,9,0,0.7816593886462883,0.7850877192982456,0.0034283306519573564,33.4749922,126.35582591
25,24,228,227,0.9605263157894737,0.960352422907489,-0.0001738928819846608,9,9,0,0.7850877192982456,0.7841409691629956,-0.0009467501352500296,35.875016,128.640816
26,25,227,226,0.960352422907489,0.9601769911504425,-0.00017543175704648473,9,9,0,0.7841409691629956,0.7831858407079646,-0.0009551284550309846,36.01062469382,129.3472416122
27,26,226,225,0.9601769911504425,0.9644444444444444,0.0042674532940019105,9,8,-1,0.7831858407079646,0.7822222222222223,-0.0009636184857423347,37.88351555,127.750081
28,27,225,224,0.9644444444444444,0.9642857142857143,-0.00015873015873013596,8,8,0,0.7822222222222223,0.78125,-0.0009722222222222632,36.126868,128.11948
29,28,224,223,0.9642857142857143,0.9641255605381166,-0.00016015374759770218,8,8,0,0.78125,0.7847533632286996,0.0035033632286995964,33.54006825,126.67194575
30,29,223,222,0.9641255605381166,0.963963963963964,-0.00016159657415260043,8,8,0,0.7847533632286996,0.7882882882882883,0.003534925059588745,33.2394722,126.42915419
31,30,222,221,0.963963963963964,0.9638009049773756,-0.00016305898658841578,8,8,0,0.7882882882882883,0.7918552036199095,0.0035669153316211233,33.25755342,126.40795975
32,31,221,220,0.9638009049773756,0.9636363636363636,-0.00016454134101195894,8,8,0,0.7918552036199095,0.7954545454545454,0.0035993418346359496,33.2486939,126.4072788
33,32,220,219,0.9636363636363636,0.9634703196347032,-0.00016604400166042588,8,8,0,0.7954545454545454,0.7945205479452054,-0.0009339975093399788,35.056138,126.979012
34,33,219,218,0.9634703196347032,0.963302752293578,-0.00016756734112521876,8,8,0,0.7945205479452054,0.7981651376146789,0.0036445896694734525,33.2550158,126.409676
35,34,218,217,0.963302752293578,0.9631336405529954,-0.0001691117405825393,8,8,0,0.7981651376146789,0.7972350230414746,-0.0009301145732042437,37.2579075965,126.9692391402
36,35,217,216,0.9631336405529954,0.962962962962963,-0.00017067759003241978,8,8,0,0.7972350230414746,0.7962962962962963,-0.0009387267451783643,36.6480797,127.4867786
37,36,216,215,0.962962962962963,0.9627906976744186,-0.00017226528854441536,8,8,0,0.7962962962962963,0.8,0.0037037037037037646,33.2733821,126.7012151
38,37,215,214,0.9627906976744186,0.9626168224299065,-0.00017387524451206726,8,8,0,0.8,0.8037383177570093,0.0037383177570092796,33.41427554,126.74489098
39,38,214,213,0.9626168224299065,0.9624413145539906,-0.00017550787591591455,8,8,0,0.8037383177570093,0.8028169014084507,-0.0009214163485585791,37.135450809,127.0725058355
40,39,213,212,0.9624413145539906,0.9622641509433962,-0.00017716361059438857,8,8,0,0.8028169014084507,0.8018867924528302,-0.0009301089556205122,35.27316495,126.5036585
41,40,212,211,0.9622641509433962,0.9620853080568721,-0.00017884288652414426,8,8,0,0.8018867924528302,0.8009478672985783,-0.0009389251542519794,37.2832972882,127.4473763519
42,41,211,210,0.9620853080568721,0.9619047619047619,-0.00018054615211016145,8,8,0,0.8009478672985783,0.8,-0.0009478672985782088,35.18132796,128.1215974
43,42,210,209,0.9619047619047619,0.9569377990430622,-0.004966962861699731,8,9,1,0.8,0.7990430622009569,-0.000956937799043156,34.8824958172,128.4169541723
44,43,209,208,0.9569377990430622,0.9567307692307693,-0.00020702981229292483,9,9,0,0.7990430622009569,0.7980769230769231,-0.0009661391240337602,35.31937142,128.2566277
45,44,208,207,0.9567307692307693,0.9565217391304348,-0.0002090301003344619,9,9,0,0.7980769230769231,0.7971014492753623,-0.0009754738015608222,35.846753,127.149736
46,45,207,206,0.9565217391304348,0.9563106796116505,-0.00021105951878430673,9,9,0,0.7971014492753623,0.8009708737864077,0.0038694245110454384,33.48929,126.501216
