year,n_nodes,n_edges,coverage_ratio,n_isolated_R,avg_degree,gcc_ratio,avg_path_length_gcc,avg_clustering,fuel_type
2011,3,1,0.6666666666666666,1,0.6666666666666666,0.6666666666666666,,,EV
2012,11,12,0.7272727272727273,3,2.1818181818181817,0.5454545454545454,,,EV
2013,14,23,0.8571428571428571,2,3.2857142857142856,0.5714285714285714,,,EV
2014,41,62,0.6829268292682927,13,3.024390243902439,0.2682926829268293,,,EV
2015,95,237,0.8947368421052632,10,4.989473684210527,0.3157894736842105,,,EV
2016,252,2204,0.9642857142857143,9,17.49206349206349,0.38095238095238093,,,EV
2017,1778,109271,0.999437570303712,1,122.91451068616423,0.9161979752530933,,,EV
2018,4115,529485,1.0,0,257.3438639125152,0.8974483596597813,,,EV
2019,6482,1147710,1.0,0,354.1221845109534,0.8762727553224313,,,EV
2020,9588,2218173,1.0,0,462.69774718397997,0.8855861493533583,,,EV
2021,12109,3705272,0.9997522503922702,3,611.9864563547775,0.8905772565860104,,,EV
2022,16850,7854089,0.9997032640949555,5,932.2360830860534,0.9083679525222552,,,EV
2023,25614,18842739,0.9997657531037714,6,1471.2843757320215,0.9258608573436402,,,EV
2024,28708,25486061,0.9997909990246621,6,1775.5372021736102,0.9300543402535878,,,EV
