year,n_nodes,n_edges,coverage_ratio,n_isolated_R,avg_degree,gcc_ratio,avg_path_length_gcc,avg_clustering,fuel_type
2011,3,1,0.0,3,0.6666666666666666,0.6666666666666666,,,EV
2012,11,12,0.5454545454545454,5,2.1818181818181817,0.5454545454545454,,,EV
2013,14,23,0.5714285714285714,6,3.2857142857142856,0.5714285714285714,,,EV
2014,41,62,0.4878048780487805,21,3.024390243902439,0.2682926829268293,,,EV
2015,95,237,0.631578947368421,35,4.989473684210527,0.3157894736842105,,,EV
2016,252,2204,0.8492063492063492,38,17.49206349206349,0.38095238095238093,,,EV
2017,1778,109271,0.9983127109111362,3,122.91451068616423,0.9161979752530933,,,EV
2018,4115,529485,0.9990279465370595,4,257.3438639125152,0.8974483596597813,,,EV
2019,6482,1147710,0.9996914532551682,2,354.1221845109534,0.8762727553224313,,,EV
2020,9588,2218173,0.9997914059240718,2,462.69774718397997,0.8855861493533583,,,EV
2021,12109,3705272,0.9997522503922702,3,611.9864563547775,0.8905772565860104,,,EV
2022,16850,7854089,0.9997032640949555,5,932.2360830860534,0.9083679525222552,,,EV
2023,25614,18842739,0.9997657531037714,6,1471.2843757320215,0.9258608573436402,,,EV
2024,28708,25486061,0.9997909990246621,6,1775.5372021736102,0.9300543402535878,,,EV
